observation_date,CPIUKA
1209-01-01,0.08
1210-01-01,0.08
1211-01-01,0.09
1212-01-01,0.08
1213-01-01,0.08
1214-01-01,0.08
1215-01-01,0.08
1216-01-01,0.09
1217-01-01,0.10
1218-01-01,0.12
1219-01-01,0.11
1220-01-01,0.10
1221-01-01,0.11
1222-01-01,0.09
1223-01-01,0.08
1224-01-01,0.09
1225-01-01,0.13
1226-01-01,0.12
1227-01-01,0.12
1228-01-01,0.12
1229-01-01,0.12
1230-01-01,0.11
1231-01-01,0.11
1232-01-01,0.11
1233-01-01,0.10
1234-01-01,0.10
1235-01-01,0.10
1236-01-01,0.10
1237-01-01,0.11
1238-01-01,0.11
1239-01-01,0.11
1240-01-01,0.10
1241-01-01,0.10
1242-01-01,0.10
1243-01-01,0.09
1244-01-01,0.09
1245-01-01,0.09
1246-01-01,0.10
1247-01-01,0.14
1248-01-01,0.13
1249-01-01,0.10
1250-01-01,0.11
1251-01-01,0.10
1252-01-01,0.10
1253-01-01,0.12
1254-01-01,0.09
1255-01-01,0.09
1256-01-01,0.12
1257-01-01,0.14
1258-01-01,0.14
1259-01-01,0.13
1260-01-01,0.12
1261-01-01,0.12
1262-01-01,0.12
1263-01-01,0.11
1264-01-01,0.11
1265-01-01,0.12
1266-01-01,0.12
1267-01-01,0.13
1268-01-01,0.11
1269-01-01,0.13
1270-01-01,0.13
1271-01-01,0.16
1272-01-01,0.17
1273-01-01,0.14
1274-01-01,0.16
1275-01-01,0.16
1276-01-01,0.14
1277-01-01,0.16
1278-01-01,0.14
1279-01-01,0.13
1280-01-01,0.14
1281-01-01,0.13
1282-01-01,0.15
1283-01-01,0.15
1284-01-01,0.15
1285-01-01,0.12
1286-01-01,0.13
1287-01-01,0.12
1288-01-01,0.10
1289-01-01,0.11
1290-01-01,0.12
1291-01-01,0.15
1292-01-01,0.14
1293-01-01,0.14
1294-01-01,0.16
1295-01-01,0.17
1296-01-01,0.16
1297-01-01,0.14
1298-01-01,0.15
1299-01-01,0.15
1300-01-01,0.15
1301-01-01,0.14
1302-01-01,0.14
1303-01-01,0.13
1304-01-01,0.12
1305-01-01,0.14
1306-01-01,0.14
1307-01-01,0.13
1308-01-01,0.15
1309-01-01,0.17
1310-01-01,0.18
1311-01-01,0.18
1312-01-01,0.15
1313-01-01,0.15
1314-01-01,0.16
1315-01-01,0.17
1316-01-01,0.24
1317-01-01,0.24
1318-01-01,0.18
1319-01-01,0.14
1320-01-01,0.15
1321-01-01,0.16
1322-01-01,0.22
1323-01-01,0.19
1324-01-01,0.16
1325-01-01,0.17
1326-01-01,0.15
1327-01-01,0.13
1328-01-01,0.14
1329-01-01,0.16
1330-01-01,0.16
1331-01-01,0.17
1332-01-01,0.17
1333-01-01,0.14
1334-01-01,0.13
1335-01-01,0.13
1336-01-01,0.14
1337-01-01,0.13
1338-01-01,0.12
1339-01-01,0.11
1340-01-01,0.14
1341-01-01,0.12
1342-01-01,0.12
1343-01-01,0.12
1344-01-01,0.14
1345-01-01,0.12
1346-01-01,0.13
